Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
"Hornet La Frappe, Ninho",Gasolina (feat. Ninho),spotify:track:6CyIkPh5mRkJg7T5xXynQ8,124,0.843,0.631,0.583,0,9,0.0744,-6.402,0,0.0455,84.87,0.618
Tiakola,La clé,spotify:track:2JBnBUqpC3hrhMZv1Z9JKO,124,0.727,0.63,0.554,4.17e-06,11,0.11,-6.547,0,0.0672,101.999,0.616
PLK,Émotif (Booska 1H),spotify:track:1O2mX6MrjsJlkCGEF0TVWL,124,0.562,0.89,0.749,0,4,0.137,-4.761,0,0.0722,133.99,0.864
Lil Nas X,MONTERO (Call Me By Your Name),spotify:track:1SC5rEoYDGUK4NfG82494W,124,0.293,0.593,0.503,0,8,0.405,-6.725,0,0.22,178.781,0.71
Ed Sheeran,Bad Habits,spotify:track:3rmo8F54jFF8OgYsqTxm5d,122,0.0451,0.807,0.893,2.79e-05,11,0.366,-3.745,0,0.0347,126.011,0.537
"Laylow, Nekfeu, Fousheé",SPECIAL (feat. Nekfeu & Fousheé),spotify:track:11HLDMuPD3wh88XHw4udKO,122,0.187,0.674,0.52,2.48e-06,10,0.259,-9.464,0,0.146,70.572,0.407
Jul,"Pic et pic, alcool et drame",spotify:track:14M6BbiHt2w9KHVvoIUIUF,122,0.397,0.898,0.738,0,7,0.0786,-3.521,0,0.0509,128.048,0.604
ROSALÍA,DESPECHÁ,spotify:track:53tfEupEzQRtVFOeZvk7xq,122,0.146,0.914,0.622,1.68e-05,7,0.0632,-6.538,1,0.0892,130.04,0.77
Beendo Z,Pas bête,spotify:track:3TVUW7bJJWDOonkVCZxfLV,122,0.361,0.734,0.532,0,7,0.105,-9.038,0,0.102,138.043,0.491
Werenoi,La League,spotify:track:38KQ5zKDeF3kUH18ZjzBbZ,122,0.873,0.819,0.675,0.00013,4,0.14,-7.198,0,0.137,104.095,0.542
Dinos,Placebo,spotify:track:17jlkHSNHFu1zUuu8QZyOW,120,0.132,0.792,0.438,3.88e-05,6,0.0963,-9.076,0,0.114,138.005,0.292
"SDM, Maes",Passat,spotify:track:5yHoANSze7sGzhn9MUarH3,120,0.749,0.665,0.54,0,1,0.109,-8.373,0,0.129,139.978,0.437
"Koba LaD, Naps",Doudou,spotify:track:1cgRpYVOkYnxomkDpYLyba,120,0.37,0.837,0.615,1.29e-05,6,0.0914,-5.274,0,0.0762,130.062,0.858
Gambi,PETETE,spotify:track:5f5fBrOBCOpLoFaWao5RXu,120,0.167,0.752,0.669,0,10,0.0795,-9.817,0,0.251,155.997,0.627
"Leto, Tiakola",Mapessa (feat. Tiakola),spotify:track:4QAv7uyOwIgqOVgzczomOo,118,0.389,0.62,0.558,0,5,0.192,-9.689,0,0.203,74.934,0.492
"Naps, SCH",La danse des bandits,spotify:track:3bGGvbwbhq9kIMhHaXBdYL,118,0.185,0.83,0.676,1.28e-05,0,0.105,-5.275,0,0.0681,135.023,0.576
"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,116,0.0221,0.741,0.691,0,10,0.0476,-7.395,0,0.0672,150.087,0.892
"Lost Frequencies, Calum Scott",Where Are You Now,spotify:track:3uUuGVFu1V7jTQL60S1r8z,116,0.515,0.671,0.636,0.000411,6,0.172,-8.117,0,0.103,120.966,0.262
